key	value	short
eventtitle	1967 Particle Accelerator Conference	PAC’67
eventdate	<1967-03-01>--<1967-03-03>	
venue	Washington D.C., USA	
booktitle	Proceedings of the 1967 Particle Accelerator Conference	Proc. PAC’67
editor	Fred T. Howard	
