key	value	short
eventtitle	SRF Workshop 1980	SRF’80
eventdate	<1980-07-02>--<1980-07-04>	
venue	Karlsruhe, Germany	
booktitle	Proceedings of the First Workshop on RF Superconductivity	Proc. SRF’80
editor	M. Kuntze	
