key	value	short
eventtitle	1985 Particle Accelerator Conference	PAC’85
eventdate	<1985-03-13>--<1985-03-16>	
venue	Vancouver, BC, Canada	
booktitle	Proceedings of the 1985 Particle Accelerator Conference	Proc. PAC’85
editor	Ada Strathdee	
