key	value	short
eventtitle	1968 Proton Linear Accelerator Conference	LINAC’68
eventdate	<1968-05-20>--<1968-05-24>	
venue	Upton, Long Island, New York, USA	
booktitle	Proceedings of the 1968 Proton Linear Accelerator Conference	Proc. LINAC’68
editor	John W. Bittner	
