key	value	short
eventtitle	the First National Particle Accelerator Conference	PAC’65
eventdate	<1965-03-10>--<1065-03-12>	
venue	Washington D.C., USA	
booktitle	Proceedings of the First National Particle Accelerator Conference	Proc. PAC’65
