key	value	short
eventtitle	1962 Conference on Linear Accelerators for High Energies	LINAC’62
eventdate	<1962-08-20>--<1962-08-24>	
venue	Upton, Long Island, New York, USA	
booktitle	Minutes of the Linear Accelerator Conference	Proc. LINAC’62
editor	van Steenbergen, A.	
