key	value	short
eventtitle	International Conference on Sector-Focused Cyclotrons and Meson Factories	CYCLOTRON’63
eventdate	<1963-04-23>--<1963-04-26>	
venue	Geneva, Switzerland	
booktitle	Proceedings of the International Conference on Sector-Focused Cyclotrons and Meson Factories	Proc. CYCLOTRON’63
editor	F. T. Howard and N. Vogt-Nilsen	
