key	value	short
eventtitle	1986 Linear Accelerator Conference	LINAC’86
eventdate	<1986-06-02>--<1986-06-06>	
venue	Stanford, California, USA	
booktitle	Proceedings of the 1986 Linear Accelerator Conference	Proc. LINAC’86
editor	R. Campisi and L. Cheung and K. Johnston and S. MacBride	
