key	value	short
eventtitle	1969 Particle Accelerator Conference	PAC’69
eventdate	<1969-03-05>--<1969-03-07>	
venue	Washington D.C., USA	
booktitle	Proceedings of the 1969 Particle Accelerator Conference	Proc. PAC’69
editor	Fred T. Howard	
