key	value	short
eventtitle	International Conference on Isochronous Cyclotrons	CYCLOTRONS’66
eventdate	<1966-05-02>--<1966-05-05>	
venue	Gatlinburg, Tennessee, USA	
booktitle	Proceedings of the International Conference on Isochronous Cyclotrons	Proc. CYCLOTRONS’66
editor	F. T. Howard	
