key	value	short
eventtitle	1983 Particle Accelerator Conference	PAC’83
eventdate	<1983-03-21>--<1983-03-23>	
venue	Santa Fe, New Mexico, USA	
booktitle	Proceedings of the 1983 Particle Accelerator Conference	Proc. PAC’83
editor	Louise S. Taylor	
