key	value	short
eventtitle	1966 Linear Accelerator Conference	LINAC’66
eventdate	<1966-10-03>--<1966-10-07>	
venue	Los Alamos Scientific Laboratory, New Mexico, USA	
booktitle	Proceedings of the 1966 Linear Accelerator Conference	Proc. LINAC’66
editor	John W. McDonald	
