key	value	short
eventtitle	1963 Conference on Proton Linear Accelerators	LINAC’63
eventdate	<1963-10-21>--<1963-10-25>	
venue	New Haven, Connecticut, USA	
booktitle	Proceedings of the 1963 Conference on Proton Linear Accelerators	Proc. LINAC’63
editor	H. B. Knowles	
