key	value	short
eventtitle	Tenth International Conference on Cyclotrons and Their Applications	CYCLOTRONS’84
eventdate	<1984-04-30>--<1984-05-03>	
venue	East Lansing, Michigan, USA	
booktitle	Proceedings of the Tenth International Conference on Cyclotrons and Their Applications	Proc. CYCLOTRONS’84
editor	F. Marti	
