key	value	short
eventtitle	1964 Linear Accelerator Conference	LINAC’64
eventdate	<1964-07-20>--<1964-07-24>	
venue	Madison, Wisconsin, USA	
booktitle	Proceedings of the 1964 Linear Accelerator Conference	Proc. LINAC’64
editor	F. E. Mills and C. D. Curtis and D. A. Swenson and D. E. Young	
