key	value	short
eventtitle	1977 Particle Accelerator Conference	PAC’77
eventdate	<1977-03-16>--<1977-03-18>	
venue	Chicago, IL, USA	
booktitle	Proceedings of the 1977 Particle Accelerator Conference	Proc. PAC’77
editor	F. T. Cole and R. Donaldson	
