key	value	short
eventtitle	1979 Linear Accelerator Conference	LINAC’79
eventdate	<1979-09-10>--<1979-09-14>	
venue	Montauk, New York, USA	
booktitle	Proceedings of the 1979 Linear Accelerator Conference	Proc. LINAC’79
editor	Richard L. Witkover	
