key	value	short
eventtitle	1981 Linear Accelerator Conference	LINAC’81
eventdate	<1981-10-19>--<1981-10-23>	
venue	Santa Fe, New Mexico, USA	
booktitle	Proceedings of the 1981 Linear Accelerator Conference	Proc. LINAC’81
editor	R. A. Jameson and Louise S. Taylor	
