key	value	short
eventtitle	1987 IEEE Particle Accelerator Conference	PAC’87
eventdate	<1987-03-16>--<1987-03-19>	
venue	Washington D.C., USA	
booktitle	Proceedings of the 1987 IEEE Particle Accelerator Conference	Proc. PAC’87
editor	Eric R. Lindstrom and Louise S. Taylor	
