key	value	short
eventtitle	1972 Proton Linear Accelerator Conference	LINAC’72
eventdate	<1972-10-10>--<1972-10-13>	
venue	Los Alamos, New Mexico, USA	
booktitle	Proceedings of the 1972 Proton Linear Accelerator Conference	Proc. LINAC’72
editor	Katherine H. Harper	
