key	value	short
eventtitle	1988 Linear Accelerator Conference	LINAC’88
eventdate	<1988-10-03>--<1988-10-07>	
venue	Newport News, Virginia, USA	
booktitle	1988 Linear Accelerator Conference Proceedings	Proc. LINAC’88
