		chair
I	Session A	G. A. Bartholomew
II	Session B	E. A. Knapp
III	Session C	D. E. Young
IV	Session D	J. E. Leiss
V	Session E	J. F. Sheehan
VI	Session F	G. W. Wheeler
VII	Papers Submitted for Publication Only	
