key	value	short
eventtitle	Ninth International Conference on Cyclotrons and Their Applications	CYCLOTRONS’81
eventdate	<1981-09-07>--<1981-09-10>	
venue	Caen, France	
booktitle	Proceedings of the Ninth International Conference on Cyclotrons and Their Applications	Proc. CYCLOTRONS’81
editor	G. Gendreau	
