key	value	short
eventtitle	1975 Particle Accelerator Conference	PAC’75
eventdate	<1975-03-12>--<1975-03-14>	
venue	Washington D.C., USA	
booktitle	Proceedings of the 1975 Particle Accelerator Conference	Proc. PAC’75
editor	Robert C. Placious	
