key	value	short
eventtitle	Sixth International Cyclotron Conference	CYCLOTRONS’72
eventdate	<1972-07-18>--<1972-07-21>	
venue	Vancouver, Canada	
booktitle	AIP Conference Proceedings No. 9	Proc. CYCLOTRONS’72
editor	J. J. Burgerjon and A. Strathdee	
