key	value	short
eventtitle	1979 Particle Accelerator Conference	PAC’79
eventdate	<1979-03-12>--<1979-03-14>	
venue	San Francisco, CA, USA	
booktitle	Proceedings of the 1979 Particle Accelerator Conference	Proc. PAC’79
editor	R. Hendrickson	
